55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
6,7,6,6,6,6,7,6,7,6,6,7,6,6,6,7,7,6,6,7
3,3,3,3,4,4,5,4,4,4,5,4,4,5,4,5,4,4,4,4
170,11,11,11,170,170,170,170,170,170,170,170,9,9,9,170,170,170,170,170
11,11,11,11,170,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9
11,11,11,11,170,10,10,10,10,170,9,9,141,141,9,9,9,9,9,9
11,11,11,11,170,10,10,10,10,170,9,9,9,9,9,9,9,9,9,9
11,11,11,11,170,10,10,10,10,170,9,9,9,9,9,9,9,9,9,9
11,11,11,11,10,10,10,10,10,170,9,9,9,9,9,9,9,9,9,9
11,11,11,11,10,10,10,10,10,170,9,9,9,9,9,9,9,9,9,9
