204,204,204,204,204,204,204,204,180,181,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
492,478,-1,-1,-1,-1,47,204,207,208,212,-1,-1,-1,-1,-1,-1,-1,-1,-1
492,477,-1,-1,-1,-1,101,204,-1,-1,-1,-1,209,-1,-1,-1,-1,-1,-1,-1
204,204,204,204,-1,204,204,204,-1,212,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,133,510,133,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
212,-1,-1,-1,-1,-1,-1,212,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,212,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,264,-1,240
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,319,8
82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
